Gasto,Categorias,Fonte Pagamento,Data,Valor,Forma Pagamento
Remédio,Saúde,201.6,06/18/2025,Bradesco,Pix
Telefonia,Serviços,113.27,09/25/2025,Santander,Cartão
Combustível,Transporte,35.99,08/22/2025,Itaú,Pix
Compra de livro,Educação,118.15,06/14/2025,Nubank,Cartão
Taxa bancária,Outros,296.09,11/02/2025,Santander,Pix
Padaria,Alimentação,216.12,06/15/2025,Santander,Cartão
Assinatura streaming,Lazer,215.71,10/09/2025,Nubank,Cartão
Multa,Outros,166.26,06/20/2025,Nubank,Dinheiro
Compra no mercado,Alimentação,196.51,10/25/2025,Caixa,Cartão
Aluguel,Moradia,49.47,06/04/2025,Bradesco,Dinheiro
Compra no mercado,"Alimentação, Outros",163.7,10/12/2025,Santander,Cartão
Mensalidade,Educação,33.62,08/11/2025,Caixa,Pix
Cinema,Lazer,102.65,07/05/2025,Nubank,Cartão
Almoço restaurante,Alimentação,19.93,05/16/2025,Itaú,Cartão
Almoço restaurante,Alimentação,161.31,06/28/2025,Bradesco,Cartão
Mensalidade,Educação,48.28,08/06/2025,Nubank,Dinheiro
Passagem de ônibus,Transporte,261.08,09/09/2025,Nubank,Dinheiro
Combustível,"Transporte, Lazer",184.74,10/03/2025,Santander,Cartão
Táxi até o aeroporto,Transporte,38.61,05/21/2025,Itaú,Pix
Passagem de ônibus,"Transporte, Alimentação",163.31,10/22/2025,Bradesco,Pix
Padaria,Alimentação,124.81,09/18/2025,Santander,Pix
Compra no mercado,Alimentação,156.03,09/18/2025,Itaú,Cartão
Mensalidade,Educação,184.92,11/06/2025,Itaú,Dinheiro
Curso online,Educação,25.07,07/01/2025,Nubank,Cartão
Curso online,Educação,186.97,08/05/2025,Itaú,Dinheiro
Condomínio,Moradia,418.67,08/14/2025,Nubank,Cartão
Condomínio,Moradia,304.49,10/29/2025,Caixa,Cartão
Telefonia,"Serviços, Moradia",198.15,06/26/2025,Nubank,Cartão
Conta de luz,Moradia,41.37,07/13/2025,Itaú,Cartão
Remédio,Saúde,54.1,06/02/2025,Caixa,Dinheiro
Aluguel,Moradia,213.13,10/20/2025,Caixa,Dinheiro
Telefonia,"Serviços, Moradia",134.55,11/04/2025,Nubank,Dinheiro
Aluguel,Moradia,226.78,09/21/2025,Santander,Dinheiro
Remédio,Saúde,192.92,05/10/2025,Itaú,Pix
Multa,Outros,118.46,10/25/2025,Santander,Pix
Lanchonete,Alimentação,299.35,05/16/2025,Bradesco,Dinheiro
Lavanderia,Serviços,159.22,11/03/2025,Bradesco,Dinheiro
Lanchonete,Alimentação,24.71,09/02/2025,Nubank,Pix
Assinatura streaming,Lazer,274.36,09/08/2025,Nubank,Pix
Combustível,Transporte,344.41,09/16/2025,Itaú,Cartão
Conta de luz,Moradia,79.14,06/12/2025,Bradesco,Dinheiro
Exame laboratorial,Saúde,71.25,08/17/2025,Caixa,Pix
Lanchonete,Alimentação,205.6,10/26/2025,Bradesco,Cartão
Telefonia,Serviços,41.8,08/04/2025,Santander,Pix
Doação,Outros,34.07,08/26/2025,Caixa,Cartão
Combustível,Transporte,121.44,05/23/2025,Bradesco,Dinheiro
Telefonia,Serviços,325.36,05/29/2025,Bradesco,Cartão
Almoço restaurante,"Alimentação, Saúde",66.08,07/04/2025,Nubank,Pix
Doação,Outros,189.34,08/14/2025,Santander,Pix
Táxi até o aeroporto,Transporte,407.93,11/04/2025,Caixa,Pix
Lanchonete,Alimentação,256.61,08/04/2025,Santander,Dinheiro
Remédio,Saúde,138.08,07/17/2025,Itaú,Dinheiro
Internet,Serviços,119.53,09/22/2025,Itaú,Pix
Lavanderia,Serviços,301.59,10/29/2025,Itaú,Dinheiro
Internet,Serviços,193.73,10/18/2025,Itaú,Pix
Show,"Lazer, Educação",237.71,06/07/2025,Bradesco,Pix
Lavanderia,Serviços,62.8,09/27/2025,Nubank,Cartão
Mensalidade,"Educação, Saúde",98.2,07/05/2025,Bradesco,Pix
Internet,Serviços,59.34,10/22/2025,Nubank,Pix
Remédio,Saúde,210.15,06/15/2025,Bradesco,Cartão
Jantar com amigos,Lazer,37.36,09/30/2025,Bradesco,Dinheiro
Multa,Outros,142.1,09/22/2025,Nubank,Pix
Almoço restaurante,"Alimentação, Educação",475.05,08/14/2025,Caixa,Dinheiro
Conta de luz,Moradia,162.21,10/29/2025,Nubank,Cartão
Aluguel,Moradia,108.79,08/01/2025,Nubank,Dinheiro
Almoço restaurante,Alimentação,66.54,07/04/2025,Bradesco,Dinheiro
Multa,Outros,106.29,09/06/2025,Caixa,Dinheiro
Compra no mercado,"Alimentação, Moradia",113.47,07/17/2025,Santander,Dinheiro
Compra no mercado,Alimentação,325.9,07/23/2025,Bradesco,Pix
Corrida Uber,Transporte,124.04,10/07/2025,Santander,Dinheiro
Passagem de ônibus,Transporte,96.68,08/29/2025,Bradesco,Pix
Lanchonete,Alimentação,110.35,07/31/2025,Santander,Pix
Aluguel,Moradia,103.08,08/28/2025,Santander,Dinheiro
Conta de luz,Moradia,81.0,08/24/2025,Caixa,Dinheiro
Padaria,Alimentação,252.04,05/20/2025,Itaú,Pix
Multa,Outros,97.07,06/18/2025,Santander,Cartão
Cinema,Lazer,61.2,08/11/2025,Caixa,Pix
Conta de luz,Moradia,148.59,06/13/2025,Bradesco,Dinheiro
Compra de livro,Educação,160.29,09/16/2025,Caixa,Pix
Almoço restaurante,Alimentação,100.06,09/26/2025,Bradesco,Pix
Exame laboratorial,Saúde,245.87,10/12/2025,Caixa,Cartão
Taxa bancária,Outros,258.78,05/14/2025,Santander,Cartão
Combustível,Transporte,248.7,06/12/2025,Caixa,Cartão
Corrida Uber,Transporte,56.75,07/28/2025,Nubank,Pix
Compra no mercado,Alimentação,144.59,08/15/2025,Nubank,Cartão
Taxa bancária,Outros,9.11,10/28/2025,Bradesco,Pix
Almoço restaurante,Alimentação,217.41,07/08/2025,Itaú,Cartão
Mensalidade,Educação,169.36,06/08/2025,Caixa,Dinheiro
Táxi até o aeroporto,"Transporte, Alimentação",180.65,06/17/2025,Bradesco,Dinheiro
